,distance,cab_type,destination,source,price,surge_multiplier,id,product_id,name,date_hour,temp,clouds,pressure,rain,humidity,wind,hour,date,day,product,product_Accessible,product_Basic,product_Lux,product_SUV,product_Sedan,product_Shared,product_XL
2239,3.25,Lyft,North Station,Northeastern University,16.5,1.0,97d3140f-988d-4bdf-90ea-817554ee8c71,lyft_plus,Lyft XL,2018-11-29:04.46.23,37.67,0.43,998.93,0.0,0.7,9.34,4,2018-11-29,Thursday,XL,0,0,0,0,0,0,1
1160,1.21,Lyft,Theatre District,Haymarket Square,26.0,1.0,760f1a8c-db0f-4d0e-b37e-2a9ef6805ab6,lyft_luxsuv,Lux Black XL,2018-11-28:21.02.08,41.14,0.93,993.44,0.0,0.63,8.49,21,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1251,1.38,Uber,North End,Beacon Hill,18.0,1.0,afdfe477-3a6f-4bd0-b977-24de98277bdc,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-27:01.45.22,44.27,1.0,1004.45,0.693,0.9,13.31,1,2018-11-27,Tuesday,XL,0,0,0,0,0,0,1
2363,0.55,Uber,South Station,Theatre District,7.5,1.0,7fd475fb-c9d0-48ab-abb4-c93b77f59926,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:09.32.11,33.22,0.42,991.75,0.0,0.84,5.95,9,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
278,2.89,Lyft,Boston University,West End,32.5,1.0,7c188e88-c4bf-4a58-921f-c9d30149b0a8,lyft_luxsuv,Lux Black XL,2018-11-28:13.32.07,38.31,0.59,991.71,0.0,0.68,6.86,13,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1036,1.73,Lyft,Haymarket Square,Theatre District,22.5,1.0,e65ac260-22c2-4691-9b01-f46a1dd816ec,lyft_lux,Lux Black,2018-11-28:10.02.08,33.1,0.13,991.18,0.0,0.84,5.59,10,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
3751,2.38,Uber,North Station,South Station,15.0,1.0,eb5206d6-de14-43c9-baaf-312286f71842,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:12.32.07,36.61,0.72,991.3,0.0,0.7,7.8,12,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1291,2.79,Uber,Beacon Hill,Boston University,19.5,1.0,ec229067-4391-4731-a0e9-43b26ad760e3,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-29:04.32.07,37.62,0.49,998.77,0.0,0.71,9.81,4,2018-11-29,Thursday,Sedan,0,0,0,0,1,0,0
3005,1.08,Uber,North End,North Station,8.5,1.0,9c222b71-c01f-4b41-ad75-6f3881b51a48,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26:20.05.09,45.14,0.98,1010.02,0.0,0.84,8.18,20,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
2359,1.64,Uber,Back Bay,Northeastern University,8.0,1.0,353bbf80-dcca-4a34-bc54-364dc7e5963c,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-29:02.07.18,38.24,0.51,997.93,0.0,0.71,10.27,2,2018-11-29,Thursday,Shared,0,0,0,0,0,1,0
274,2.15,Lyft,South Station,West End,9.0,1.0,bcf8bbce-1da4-4ef8-a6a3-9b3297e0add7,lyft,Lyft,2018-11-28:13.32.07,38.31,0.59,991.71,0.0,0.68,6.86,13,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
603,2.29,Uber,North Station,South Station,16.0,1.0,e2309798-707c-49b7-911b-07ff3b1ff4a5,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2018-11-28:08.54.56,34.49,0.52,991.62,0.0,0.8,4.99,8,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1823,2.99,Lyft,Fenway,West End,27.5,1.0,ba6e4f26-3706-4eab-9d51-f3c6e7d25768,lyft_lux,Lux Black,2018-11-28:17.02.08,41.4,0.92,991.49,0.0,0.63,9.23,17,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
3379,3.01,Uber,Boston University,North Station,10.5,1.0,350ecc36-f7cc-4135-86f6-69396385ccc3,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-27:00.58.48,44.02,0.98,1006.01,0.1378,0.9,9.98,0,2018-11-27,Tuesday,Accessible,1,0,0,0,0,0,0
1984,1.7,Lyft,South Station,North Station,16.5,1.0,0a0deb68-944e-4941-aa83-836335bb19ea,lyft_plus,Lyft XL,2018-11-28:09.32.18,33.33,0.42,991.79,0.0,0.84,5.9,9,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
2318,2.73,Lyft,Theatre District,Fenway,30.0,1.25,a9a55cdb-af6e-4e52-a7e0-9ca3f4995a33,lyft_lux,Lux Black,2018-11-26:09.29.09,40.72,1.0,1014.75,0.0,0.94,1.36,9,2018-11-26,Monday,Sedan,0,0,0,0,1,0,0
156,1.25,Lyft,Theatre District,Haymarket Square,7.0,1.0,8d9980b7-13f9-415b-992d-c21256b2e2d2,lyft,Lyft,2018-11-26:06.49.45,41.13,0.98,1014.35,0.0,0.92,1.82,6,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
574,3.29,Uber,Northeastern University,Financial District,16.5,1.0,a6506333-9caf-457c-b298-16edf9a2d59d,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26:09.29.09,42.06,1.0,1014.75,0.0,0.89,1.1,9,2018-11-26,Monday,Shared,0,0,0,0,0,1,0
3184,2.37,Lyft,Back Bay,Haymarket Square,16.5,1.0,f9d14484-f4b8-40e7-9f0d-33c945bc31a6,lyft_plus,Lyft XL,2018-11-29:04.09.18,37.64,0.59,998.45,0.0,0.71,9.48,4,2018-11-29,Thursday,XL,0,0,0,0,0,0,1
572,1.06,Lyft,North End,West End,3.5,1.0,cec34953-f557-45c4-a77e-068750d01625,lyft_line,Shared,2018-11-28:17.06.23,41.39,0.91,991.51,0.002,0.63,9.33,17,2018-11-28,Wednesday,Shared,0,0,0,0,0,1,0
929,1.49,Lyft,Back Bay,Boston University,16.5,1.5,fcdfe552-7c03-4d88-8e12-7f6a4cedc5cc,lyft_plus,Lyft XL,2018-11-28:09.48.16,33.53,0.39,991.96,0.0,0.83,6.79,9,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
250,1.06,Lyft,North End,North Station,27.5,1.0,412d59fb-e945-4b1b-a905-0e4d2d00bf0b,lyft_luxsuv,Lux Black XL,2018-11-28:22.53.39,40.05,0.99,994.93,0.0,0.63,9.82,22,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
107,5.37,Lyft,Boston University,Financial District,38.5,1.0,b01a0e0e-249d-47ca-b08f-8eef08d59f8c,lyft_lux,Lux Black,2018-11-29:01.02.08,36.85,0.71,997.12,0.0,0.76,10.0,1,2018-11-29,Thursday,Sedan,0,0,0,0,1,0,0
3317,2.34,Uber,Back Bay,North End,31.5,1.0,aefea38a-2ef7-4c52-8f4e-fa55642625dc,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2018-11-28:18.32.07,41.29,0.99,991.7,0.0,0.64,10.28,18,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
2794,0.49,Uber,North Station,Haymarket Square,7.0,1.0,5ea8711c-dd93-4ceb-992a-e418e46634ad,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-28:11.06.24,33.21,0.37,990.67,0.0,0.82,6.61,11,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
3186,2.44,Lyft,Beacon Hill,Fenway,22.5,1.0,482a1340-7bab-41e0-a249-d8d274db5de0,lyft_lux,Lux Black,2018-11-28:17.02.07,41.49,0.91,991.51,0.0,0.62,9.19,17,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
488,3.2,Lyft,North Station,Fenway,27.5,1.0,af1c9956-2751-4ba9-b2ba-3827078068fd,lyft_lux,Lux Black,2018-11-28:22.02.08,40.62,0.83,994.1,0.0,0.63,9.21,22,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
3466,1.54,Lyft,Theatre District,North End,13.5,1.0,53ef3424-bee8-4dd8-a57e-2cf679595e88,lyft_plus,Lyft XL,2018-11-28:10.32.07,32.77,0.15,991.22,0.0,0.85,6.4,10,2018-11-28,Wednesday,XL,0,0,0,0,0,0,1
1349,3.44,Uber,Back Bay,South Station,10.0,1.0,7e98d84a-eb1b-41c1-866e-5f7e28a3c6be,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2018-11-26:09.29.09,42.06,1.0,1014.75,0.0,0.89,1.07,9,2018-11-26,Monday,Shared,0,0,0,0,0,1,0
2020,1.72,Lyft,North End,Theatre District,9.0,1.0,aafdeb12-43d2-41a2-9994-35c3dc4b7dcd,lyft,Lyft,2018-11-28:19.02.08,40.9,1.0,991.82,0.0,0.64,9.5,19,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
1664,1.9,Uber,Beacon Hill,North End,9.5,1.0,6d700731-85d3-45bd-97a8-f3eb62bc9348,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:00.45.22,38.95,0.04,992.09,0.0,0.72,7.54,0,2018-11-28,Wednesday,Accessible,1,0,0,0,0,0,0
3630,2.74,Lyft,Theatre District,Fenway,10.5,1.0,2140554d-fc4e-43b3-8ef5-95f6799b3b3d,lyft,Lyft,2018-11-29:04.02.07,37.58,0.6,998.39,0.0,0.71,9.24,4,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
128,4.54,Lyft,Fenway,Financial District,16.5,1.25,cc154482-1d63-4c7c-ae88-1b753c6e013e,lyft,Lyft,2018-11-28:17.02.08,41.41,0.92,991.49,0.0,0.63,9.25,17,2018-11-28,Wednesday,Basic,0,1,0,0,0,0,0
3746,2.5,Uber,Beacon Hill,South Station,9.5,1.0,8196e9c4-594c-4db9-aa40-73f9a08f3082,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:12.32.07,36.61,0.72,991.3,0.0,0.7,7.8,12,2018-11-28,Wednesday,Accessible,1,0,0,0,0,0,0
450,2.6,Uber,Back Bay,Haymarket Square,26.0,1.0,d7af431d-f83e-4c75-a9ba-bc8a6eddd30a,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-28:23.53.40,39.3,0.85,995.95,0.0,0.66,10.54,23,2018-11-28,Wednesday,Sedan,0,0,0,0,1,0,0
2778,2.37,Lyft,Beacon Hill,Fenway,65.0,2.0,0d247b33-5163-45a4-a8a3-f750ce9e6bdd,lyft_luxsuv,Lux Black XL,2018-11-28:13.32.07,37.97,0.55,991.86,0.0,0.69,6.53,13,2018-11-28,Wednesday,SUV,0,0,0,1,0,0,0
1706,1.16,Uber,Theatre District,Haymarket Square,17.0,1.0,3a812307-3483-47f4-9bb5-a126ba757dee,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2018-11-29:01.27.03,38.31,0.58,997.47,0.0,0.72,10.48,1,2018-11-29,Thursday,Sedan,0,0,0,0,1,0,0
1524,2.68,Lyft,Theatre District,Fenway,11.0,1.0,aa81ba19-f4e8-4cfc-afee-c4b7fcc08361,lyft,Lyft,2018-11-29:01.02.08,38.61,0.72,997.16,0.0,0.71,9.82,1,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
3402,1.35,Uber,North End,Beacon Hill,9.5,1.0,95a924eb-d57b-4748-b05e-4afb12361477,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-26:04.41.36,40.62,0.86,1014.17,0.0,0.93,2.58,4,2018-11-26,Monday,Basic,0,1,0,0,0,0,0
75,2.85,Lyft,Northeastern University,Theatre District,10.5,1.0,dc14305f-7de5-4169-8072-d1fd5d342a90,lyft,Lyft,2018-11-27:00.58.49,43.95,0.98,1005.98,0.1884,0.9,9.95,0,2018-11-27,Tuesday,Basic,0,1,0,0,0,0,0
3549,2.51,Uber,Beacon Hill,South Station,11.5,1.0,f8be9a97-4f77-4f88-a30a-909e288351ce,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:14.32.07,39.18,0.45,991.94,0.0,0.66,11.11,14,2018-11-28,Wednesday,Accessible,1,0,0,0,0,0,0
3314,3.12,Lyft,West End,Boston University,38.0,1.0,72696802-83c0-4c35-a018-675f9349d706,lyft_luxsuv,Lux Black XL,2018-11-26:07.46.10,40.98,0.98,1014.27,0.0,0.91,1.38,7,2018-11-26,Monday,SUV,0,0,0,1,0,0,0
2982,1.8,Uber,Northeastern University,Theatre District,9.5,1.0,0d3fa11a-42cd-4c02-b983-fca047721f26,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2018-11-29:01.27.03,38.12,0.58,997.48,0.0,0.72,10.49,1,2018-11-29,Thursday,Basic,0,1,0,0,0,0,0
408,2.79,Uber,Beacon Hill,Boston University,9.5,1.0,bb58f830-ec69-4bf9-b53b-8f65642074ca,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2018-11-28:14.02.08,38.34,0.48,991.66,0.0,0.67,11.62,14,2018-11-28,Wednesday,Accessible,1,0,0,0,0,0,0
